	CK_m6A_1	CK_m6A_2	CK_m6A_3	CK_m6A_4	RSV_m6A_1	RSV_m6A_2	RSV_m6A_3	RSV_m6A_4
10932508_10932743_Os01g0298301	10.82861719	20.12716143	16.53967968	10.22845644	25.09866262	16.44972428	14.13791772	10.95241071
11063603_11063872_Os01g0300900	30.51701208	40.86423684	34.5829666	26.75134762	13.31765771	24.67458643	13.52322564	16.84986263
11075240_11076663_Os01g0301300	32.48585157	29.88578515	33.83116298	33.83258669	30.22083866	34.544421	31.96398788	26.11728707
11191969_11192417_Os01g0302800	139.7876037	145.1595279	139.8354737	126.675499	120.8833546	115.9705562	138.3057168	122.161504
11198624_11198950_Os01g0302900	4.922098722	6.099139827	3.759018109	10.22845644	8.19548167	8.224862142	6.146920746	14.32238323
11220261_11221413_Os01g0303200	231.33864	252.5043888	232.3073191	222.6656287	218.7169171	238.5210021	228.6654518	230.0006248
11231974_11232180_Os01g0303600	33.47027131	26.22630125	22.55410865	29.11176064	36.87966752	41.94679692	43.6431373	52.23457414
11277405_11277795_Os01g0304300	237.2451584	280.560432	310.4948958	296.6252368	283.7685528	308.4323303	281.5289702	306.6674998
11350565_11350772_Os01g0305900	61.03402416	66.48062411	57.88887888	71.59919509	38.92853793	50.99414528	38.7256007	58.97451919
11350830_11356038_Os01g0305900	93.51987573	97.58623723	96.98266721	79.46723851	54.29506607	58.39652121	55.93697879	41.28216343
11356008_11356303_Os01g0305900	114.1926904	126.2521944	109.7633288	94.416521	63.51498294	66.62138335	63.92797576	37.91219091
11356509_11356863_Os01g0305900	99.42639419	101.8556351	92.47184548	88.90889061	44.56293158	62.50895228	51.63413427	51.39208101
11426446_11426948_Os01g0306900	209.6814056	211.640152	203.7387815	212.4371722	222.3024403	228.6511675	184.4076224	221.5756935
11544479_11544866_Os01g0308600	50.20540697	59.7715703	60.89609337	58.22352128	64.53941815	67.44386956	65.77205199	72.45440929
11585606_11585898_Os01g0309100	56.11192544	63.4310542	59.39248612	80.25404285	64.53941815	57.57403499	60.85451539	53.07706727
11621810_11622522_Os01g0309900	1055.297966	881.325705	812.6997152	1036.221318	1068.99814	1013.303016	1006.250926	951.1747452
11665793_11666448_Os01g0310550	599.5116244	614.1833805	600.6910938	567.2859303	521.9497389	477.8644904	563.6726324	502.1259062
1169329_1169745_Os01g0120700	691.0626606	626.3816602	645.0475075	683.7329729	771.3997122	861.9655524	765.2916329	733.8115173
11801452_11801752_Os01g0314000	2.953259233	3.049569913	9.021643462	3.147217367	11.2687873	16.44972428	19.05545431	21.90482141
11806985_11807106_Os01g0314100	101.3952337	104.295291	96.98266721	110.1526078	145.9820173	171.0771325	139.5351009	165.9711469
11863980_11864412_Os01g0314800	143.7252827	134.7909902	132.3174374	125.1018903	937.8704336	997.6757778	1017.930076	926.7424444
1186815_1187173_Os01g0121200	57.09634518	60.38148428	63.90330785	42.48743445	68.12494138	45.23674178	55.93697879	74.98188868
11964349_11964676_Os01g0316600	29.53259233	39.64440887	32.32755574	29.89856498	107.5656969	76.49121792	91.58911912	93.51673757
11981273_11981782_Os01g0316900	563.0880938	609.9139827	549.5684475	561.7782999	511.1931692	522.278746	564.9020166	556.8879598
12122389_12123026_Os01g0319000	71.86264135	75.62933385	80.44298753	84.18806456	78.36929347	67.44386956	71.91897273	73.29690242
12214114_12214579_Os01g0320700	587.6985875	544.6531865	621.7415952	563.3519086	431.2872229	379.1661447	425.9816077	389.2318266
12332853_12333091_Os01g0323100	12.79745668	7.928881775	20.29869779	18.8833042	12.29322251	17.2722105	15.36730187	10.10991758
12344402_12344612_Os01g0323300	102.3796534	91.4870974	104.5007034	121.1678686	71.19824701	88.00602492	73.76304896	64.87197111
1236358_1236760_Os01g0121800	237.2451584	261.6530986	269.8975002	262.0058458	290.9395993	273.0654231	285.2171226	275.4952539
12403524_12404005_Os01g0324400	91.55103624	71.96984995	78.18757667	73.95960811	99.88243286	100.3433181	109.4151893	98.57169636
12584856_12585247_Os01g0327600	62.0184439	76.84916182	100.7416853	75.5332168	95.27247442	92.11845599	93.43319535	88.46177878
12616135_12616705_Os01g0327900	94.50429547	97.58623723	71.42134407	93.62971666	81.9548167	70.73381442	79.29527763	66.55695737
12649416_12650012_Os01g0328500	271.6998495	281.170346	280.4227509	328.0974105	262.2554134	278.8228266	307.9607294	273.8102677
12650572_12650721_Os01g0328600	65.95612288	64.04096818	94.72725635	88.12208626	89.12586316	93.76342842	87.90096667	101.9416689
12653961_12654287_Os01g0328600	311.0766393	322.0345828	324.027361	333.6050409	357.5278879	361.8939342	331.3190282	385.8618541
12729986_12730167_Os01g0329800	34.45469106	40.86423684	34.5829666	41.70063011	50.70954284	55.92906256	47.94598182	46.33712222
12730420_12730839_Os01g0329800	98.44197445	63.4310542	62.39970061	72.38599943	80.93038149	94.58591463	94.66257949	86.77679252
12809965_12810174_Os01g0331100	4.922098722	11.58836567	6.766232596	7.081239075	6.146611253	3.289944857	9.835073194	4.212465656
12915019_12915320_Os01g0332500	9.844197445	8.538795757	11.27705433	5.507630392	19.97648657	11.514807	11.67914942	10.95241071
12915363_12915930_Os01g0332800	362.266466	336.6725184	323.2755574	350.127932	324.2337436	327.3495132	319.0251867	346.2646769
12924254_12924940_Os01g0333001	4483.047516	3830.259811	3903.364404	4256.611488	3848.803079	3463.489448	3415.229167	3325.320389
13245729_13246058_Os01g0337500	22.64165412	25.00647329	19.54689417	18.09649986	70.68602941	84.71608006	79.29527763	73.29690242
13247311_13247895_Os01g0337600	357.3443672	322.6444968	318.7647357	343.046693	302.7206042	310.899789	274.7673574	294.8725959
13259214_13262168_Os01g0337600	173.257875	139.670302	106.7561143	143.9851945	116.2733962	129.1303356	159.8199394	107.8391208
13267997_13268354_Os01g0337700	32.48585157	51.84268853	48.1154318	45.63465182	34.31857949	35.36690721	32.57867996	29.48725959
13294211_13294473_Os01g0338100	407.5497742	464.1445408	499.1976049	458.7069312	404.1396899	439.2076384	425.3669157	477.6936054
13348116_13348414_Os01g0339600	7.875357956	8.538795757	9.773447084	7.081239075	6.658828857	9.047348356	7.376304896	13.4798901
13356913_13357633_Os01g0339950	1285.652186	1320.463772	1281.073372	1273.049425	1606.314407	1685.274253	1611.107928	1753.228206
13531068_13531571_Os01g0342800	94.50429547	80.50864571	93.97545273	76.32002114	78.88151108	69.9113282	75.60712518	76.66687494
13643234_13643590_Os01g0346400	26.5793331	25.00647329	30.82394849	35.40619537	27.65975064	30.43198992	27.04645128	37.06969778
13778792_13779085_Os01g0346700	63.98728339	79.89873173	72.92495132	74.74641246	86.05255754	97.87585949	127.2412595	104.4691483
13803166_13803376_Os01g0347100	80.72241905	68.92028004	72.17314769	92.05610797	82.46703431	80.60364899	82.368738	90.14676504
13892506_13893184_Os01g0348600	1408.704654	1397.312934	1511.12528	1369.826359	1828.616848	1816.872047	1717.449657	1891.39708
13897676_13898120_Os01g0348700	1167.521817	1246.054267	1172.81365	1215.612708	913.2839886	1019.060419	952.7727157	963.8121422
14040717_14040808_Os01g0351100	38.39237004	25.61638727	39.09378833	40.12702142	37.39188512	45.23674178	28.27583543	45.49462909
14054441_14054909_Os01g0351200	70.8782216	77.4590758	84.95380927	56.6499126	59.92945971	48.52668664	49.79005805	62.34449171
1411585_1411915_Os01g0125700	84.66009803	73.18967792	60.89609337	72.38599943	80.93038149	87.1835387	80.52466178	78.35186121
1418512_1418662_Os01g0125850	51.18982671	62.82114021	66.91052234	55.07630392	74.78377024	68.26635578	57.78105502	72.45440929
141988_142259_Os01g0102500	56.11192544	71.35993597	62.39970061	66.87836904	67.61272378	78.13619035	62.69859161	50.54958788
1421722_1423293_Os01g0125900	34.45469106	56.11208641	54.12986077	62.15754299	59.92945971	59.21900742	59.01043917	53.9195604
143863_144494_Os01g0102500	252.0114546	254.3341308	295.4588234	247.8433676	250.9866262	230.29614	262.4735159	281.3927058
14392028_14392777_Os01g0356500	107.3017521	123.8125385	141.3390809	116.4470426	100.3946505	112.6806113	108.8004972	112.8940796
14453095_14453454_Os01g0357100	395.7367373	419.6208201	384.1716507	369.7980406	333.4536605	338.041834	395.247004	342.8947044
1445329_1445599_Os01g0126200	39.37678978	46.35346268	50.37084266	37.7666084	46.611802	63.33143849	53.47821049	41.28216343
1446942_1447152_Os01g0126401	13.78187642	12.80819364	12.78066157	14.94928249	12.29322251	17.2722105	11.06445734	12.63739697
14480824_14481058_Os01g0357900	250.0426151	312.8858731	284.9335727	266.7266718	211.033653	224.5387365	232.3536042	229.1581317
14576600_14576840_Os01g0359400	58.08076492	60.99139827	61.64789699	51.14228221	42.51406116	39.47933828	49.17536597	41.28216343
14608821_14609060_Os01g0360100	10.82861719	6.709053809	4.510821731	7.868043416	5.634393648	9.047348356	7.376304896	5.054958788
14612203_14612323_Os01g0360100	4.922098722	3.659483896	3.759018109	2.360413025	3.585523231	4.934917285	5.532228672	4.212465656
14679305_14679744_Os01g0360600	316.9831577	348.2608841	348.8368805	295.8384325	246.8888853	263.1955885	267.3910525	247.6929806
14705442_14705618_Os01g0361000	372.1106634	376.3169273	331.5453972	328.8842148	250.4744085	296.9175233	301.8138086	249.3779669
14738102_14738430_Os01g0361500	156.5227394	137.8405601	130.8138302	120.3810643	124.9810955	144.7575737	149.9848662	130.5864353
14748105_14748525_Os01g0361800	29.53259233	47.57329065	45.86002093	33.83258669	30.22083866	28.7870175	31.34929581	42.96714969
14771130_14771426_Os01g0362533	16.73513566	25.61638727	30.82394849	29.11176064	20.48870418	28.7870175	19.67014639	16.84986263
14783422_14784280_Os01g0362800	51.18982671	48.18320463	54.88166439	43.27423879	57.36837169	68.26635578	53.47821049	50.54958788
14796877_14797054_Os01g0363300	143.7252827	137.2306461	148.1053135	139.2643685	121.3955722	116.7930424	122.3237229	127.2164628
14800815_14803009_Os01g0363500	353.4066883	347.0410561	397.7041159	355.6355624	336.0147485	308.4323303	292.5934275	340.367225
14802806_14803013_Os01g0363600	20.67281463	25.61638727	33.07935936	14.16247815	20.48870418	28.7870175	25.20237506	20.21983515
14809705_14809945_Os01g0363900	73.83148084	58.55174234	72.92495132	66.87836904	69.6615942	74.84624549	90.97442705	64.02947798
14856285_14856731_Os01g0364400	46.26772799	54.28234446	36.83837747	40.12702142	43.02627877	44.41425557	53.47821049	45.49462909
14856457_14856726_Os01g0364412	21.65723438	23.78664532	22.55410865	20.45691288	21.51313938	27.14204507	24.58768299	25.27479394
14856998_14857385_Os01g0364400	23.62607387	18.90733346	18.79509055	16.52289117	14.85431053	10.69232078	18.44076224	12.63739697
14898737_14898978_Os01g0364800	136.8343445	129.9116783	155.6233497	128.2491077	135.7376652	137.3551978	148.14079	117.1065452
14902435_14902641_Os01g0364900	5.906518467	10.36853771	10.52525071	7.081239075	10.75656969	7.402375928	10.44976527	8.424931313
14958804_14959343_Os01g0366100	70.8782216	65.87071013	69.91773683	72.38599943	84.00368712	75.6687317	83.59812215	72.45440929
14967559_14968217_Os01g0366300	71.86264135	78.06898978	61.64789699	78.68043416	88.10142796	86.36105249	84.8275063	97.72920323
14967588_14968247_Os01g0366300	68.90938211	75.01941987	59.39248612	78.68043416	87.07699275	85.53856627	83.59812215	97.72920323
15067107_15067522_Os01g0367700	1094.674756	1210.679256	1219.425475	1131.424643	873.8432331	898.9774321	1000.104005	973.0795666
1521331_1521601_Os01g0127700	116.1615298	121.3728826	123.295794	118.8074556	283.2563352	276.355368	252.0237506	283.0776921
15328896_15329074_Os01g0372100	1.968839489	3.659483896	6.014428975	8.654847758	11.2687873	0.822486214	6.761612821	1.684986263
15360532_15360682_Os01g0372700	105.3329127	100.6358071	95.47905997	110.1526078	89.12586316	100.3433181	97.12134779	78.35186121
15447_15685_Os01g0100400	55.12750569	67.70045208	56.38527164	51.92908655	51.22176044	60.86397985	59.62513124	73.29690242
15465595_15465895_Os01g0375000	220.5100228	216.5194638	193.9653344	227.3864547	160.3241102	189.9943155	180.1047779	155.0187362
15492052_15493392_Os01g0375200	229.3698005	260.4332706	242.8325698	220.3052157	251.4988438	245.1008918	261.8588238	234.2130905
15644973_15645271_Os01g0377700	137.8187642	150.0388397	140.5872773	148.7060206	208.9847826	212.2014433	208.3806133	199.6708721
15645687_15646044_Os01g0377700	177.195554	188.4634206	189.4545127	169.9497378	196.1793425	265.6630472	236.6564487	220.7332004
1605220_1605729_Os01g0128800	820.0216472	813.0153389	896.9017208	816.7029066	1375.304268	1264.983797	1194.961393	1304.179367
16086728_16086938_Os01g0384300	13.78187642	15.85776355	13.53246519	11.01526078	16.39096334	17.2722105	14.13791772	15.16487636
16130514_16130777_Os01g0384800	141.7564432	129.9116783	162.3895823	153.4268466	225.3757459	274.7103955	284.6024306	204.7258309
16385639_16385905_Os01g0388500	158.4915789	138.4504741	125.5512048	129.8227164	116.2733962	106.9232078	100.1948082	132.2714216
16696881_16697122_Os01g0392600	23.62607387	15.85776355	18.04328692	18.8833042	25.61088022	18.09469671	24.58768299	46.33712222
16697510_16698350_Os01g0392600	40.36120952	39.64440887	45.86002093	54.28949957	66.07607097	63.33143849	73.76304896	64.02947798
16699008_16699608_Os01g0392600	17.7195554	18.90733346	28.56853763	13.37567381	34.31857949	27.96453128	31.96398788	42.12465656
16980462_16981346_Os01g0495701	215.587924	243.3556791	214.2640322	235.2544982	250.9866262	251.6807815	206.5365371	244.3230081
17015729_17016236_Os01g0495900	1273.839149	1252.76332	1341.217661	1244.724468	1071.047011	989.4509156	1026.535765	1045.533976
17070575_17070724_Os01g0496900	20.67281463	37.81466693	32.32755574	36.97980406	46.611802	47.70420042	52.24882634	48.02210848
17157095_17157677_Os01g0498200	877.1179923	1045.392566	1089.363448	960.6881011	1763.052994	1684.451767	1730.972882	1940.261681
17266184_17266690_Os01g0500500	266.7777508	250.0647329	269.1456966	257.2850197	224.3513107	245.923378	234.8123725	244.3230081
172796_173246_Os01g0103050	87.61335726	71.96984995	75.18036218	76.32002114	57.8805893	67.44386956	59.62513124	43.80964283
17303464_17303705_Os01g0500900	117.1459496	88.43752749	105.2525071	98.35054271	84.00368712	79.78116277	70.07489651	106.1541345
17325640_17325760_Os01g0501000	26.5793331	29.88578515	22.55410865	18.09649986	32.78192668	41.94679692	22.74360676	27.80227333
17460355_17461045_Os01g0503400	179.1643935	154.3082376	155.6233497	160.5080857	108.5901321	111.0356389	114.3327259	98.57169636
1754373_1755952_Os01g0131800	100.4108139	84.16812961	86.45741651	95.20332534	116.2733962	111.8581251	103.8829606	109.5241071
17564356_17565044_Os01g0504950	1432.330728	1515.636247	1506.614458	1464.24288	1301.544933	1277.321091	1427.929689	1215.717588
17583762_17584089_Os01g0505700	160.4604184	137.8405601	156.3751533	144.7719989	152.6408461	110.2131527	125.3971832	123.8464903
17607298_17607509_Os01g0506100	3.937678978	12.80819364	10.52525071	13.37567381	11.7810049	12.33729321	10.44976527	25.27479394
17705859_17706364_Os01g0507300	726.5017714	822.1640486	826.2321804	679.7989512	675.6150202	778.0719586	815.696383	773.4086945
17741466_17741584_Os01g0507700	546.3529582	487.9311861	544.3058222	552.3366478	556.2683184	551.0657635	516.9560348	467.5836878
17794258_17794497_Os01g0508300	32.48585157	31.10561312	37.59018109	35.40619537	33.80636189	38.65685207	28.89052751	27.80227333
17798265_17798679_Os01g0508500	167.3513566	161.0172914	180.4328692	152.6400423	427.7016997	443.3200694	426.5962998	361.4295533
17898165_17898610_Os01g0509900	45.28330825	50.01294658	57.13707526	47.2082605	50.19732523	55.10657635	51.63413427	55.60454666
17907549_17910037_Os01g0510100	913.5415229	1007.577899	1096.129681	953.6068621	1210.882417	1247.711587	1164.226789	1282.274546
17959966_17960325_Os01g0510701	47.25214774	40.86423684	51.87444991	38.55341274	58.90502451	45.23674178	60.85451539	65.71446424
17968157_17968485_Os01g0510800	318.9519972	335.4526905	296.9624306	357.9959754	343.6980125	324.0595684	329.474952	310.8799654
17994679_17995660_Os01g0511200	272.6842692	285.4397439	303.7286632	264.3662588	255.5965846	281.2902852	257.5559793	275.4952539
18016877_18017027_Os01g0511600	322.8896762	358.6294218	348.0850769	354.8487581	208.9847826	226.1837089	229.2801438	194.6159133
1801982_1802307_Os01g0132766	45.28330825	60.38148428	61.64789699	41.70063011	28.17196824	41.94679692	44.87252145	48.02210848
18023341_18023518_Os01g0511700	36.42353055	37.81466693	39.09378833	30.68536932	36.87966752	28.7870175	32.57867996	30.32975273
18128264_18128862_Os01g0513400	826.9125854	772.1511021	817.2105369	743.5301029	1101.780067	1037.155116	1049.894063	1112.933426
18130333_18130572_Os01g0513500	7.875357956	10.97845169	6.014428975	11.01526078	7.171046462	6.579889713	5.532228672	8.424931313
18154849_18155343_Os01g0513900	120.0992088	107.3448609	78.93938029	92.84291231	64.53941815	45.23674178	54.70759464	76.66687494
18157273_18157574_Os01g0513900	43.31446876	44.52372073	53.37805715	45.63465182	23.0497922	24.67458643	33.80806411	31.17224586
18232731_18232911_Os01g0515300	2.953259233	3.659483896	5.262625353	3.147217367	7.171046462	5.757403499	6.146920746	5.054958788
18288549_18288878_Os01g0516600	11.81303693	16.46767753	21.05050141	12.58886947	17.41539855	19.73966914	17.21137809	26.11728707
18298220_18298788_Os01g0516700	119.1147891	139.060388	127.0548121	140.0511728	185.9349904	154.6274083	129.7000277	142.3813392
18435880_18436449_Os01g0519050	22.64165412	20.12716143	20.29869779	17.30969552	18.43983376	20.56215535	17.21137809	18.53484889
185217_185450_Os01g0103400	64.97170314	54.89225844	67.66232596	65.30476036	52.24619565	55.92906256	54.09290257	48.86460161
1856041_1856251_Os01g0133500	33.47027131	32.93535506	25.56132314	25.17773893	54.29506607	45.23674178	53.47821049	46.33712222
18587316_18587837_Os01g0521200	65.95612288	73.18967792	72.92495132	66.0915647	94.76025681	83.89359385	77.4512014	112.0515865
18607989_18609393_Os01g0521500	169.3201961	164.0668613	142.8426881	156.574064	150.5919757	192.4617741	140.149793	117.1065452
18608016_18609391_Os01g0521550	135.8499247	130.5215923	118.0331686	121.954673	117.810049	162.8522704	119.2502625	98.57169636
1869573_1870071_Os01g0133866	152.5850604	160.4073774	134.5728483	142.4115858	98.85799765	87.1835387	102.6535765	97.72920323
18818626_18818864_Os01g0525350	28.54817259	24.39655931	27.81673401	25.17773893	12.29322251	11.514807	20.28483846	16.84986263
18853786_18854425_Os01g0526200	146.6785419	129.3017643	149.6089207	158.934477	159.299675	129.1303356	137.0763326	138.1688735
18940531_18940740_Os01g0527600	46.26772799	50.62286056	36.83837747	27.53815196	37.90410273	37.01187964	39.95498485	37.91219091
18961352_18961830_Os01g0527700	508.9450079	511.7178315	505.9638375	506.701996	462.5324968	460.5922799	490.5242756	558.572946
19115282_19115998_Os01g0531200	278.5907877	238.4763672	272.9047147	291.9044108	268.9142423	254.9707264	255.097211	284.7626784
19245152_19245482_Os01g0532700	22.64165412	23.17673134	32.32755574	34.61939103	29.19640345	25.49707264	26.43175921	27.80227333
19387077_19387198_Os01g0534700	21.65723438	26.83621524	18.79509055	17.30969552	20.48870418	26.31955885	13.52322564	25.27479394
1941011_1941402_Os01g0135900	1543.570159	1418.659924	1318.663553	1485.486597	1090.51128	1151.4807	1106.445734	1005.936799
19454153_19454661_Os01g0535400	166.3669368	148.8190118	171.4112258	158.1476727	158.7874574	159.5623255	179.4900858	193.7734202
19468249_19469005_Os01g0535900	448.8954035	522.0863692	521.7517135	444.544453	370.333328	356.1365307	352.8332508	369.8544846
19477264_19477590_Os01g0536000	62.0184439	73.18967792	80.44298753	92.84291231	89.12586316	100.3433181	110.0298814	95.20172383
19505310_19505608_Os01g0536400	22.64165412	20.73707541	20.29869779	15.73608683	18.43983376	20.56215535	22.74360676	15.16487636
19536_20144_Os01g0100500	577.85439	617.8428644	600.6910938	572.7935607	587.0013746	613.5747158	569.2048611	622.602424
195870_196287_Os01g0103700	41.34562927	71.35993597	57.13707526	48.78186918	44.56293158	56.75154878	48.5606739	42.12465656
19681824_19682152_Os01g0538000	204.7593069	181.7543668	222.5338721	214.7975853	233.5712276	256.6156988	211.4540737	191.2459408
1977422_1977871_Os01g0136800	72.84706109	65.26079615	73.67675494	74.74641246	102.9557385	97.05337327	93.43319535	81.72183373
19826324_19826621_Os01g0539400	1045.453769	1196.04132	1184.842508	1081.85597	882.5509324	940.924229	941.0935663	974.7645529
19848102_19848342_Os01g0539900	70.8782216	71.96984995	71.42134407	85.76167324	66.58828857	68.26635578	70.68958858	69.08443676
1986198_1986316_Os01g0137232	6.890938211	7.928881775	5.262625353	11.80206512	7.683264066	9.86983457	14.13791772	8.424931313
19911223_19911700_Os01g0541600	146.6785419	155.5280656	137.5800628	136.1171511	155.2019341	161.207298	147.5260979	143.2238323
19961702_19961939_Os01g0541800	51.18982671	51.84268853	54.88166439	47.2082605	33.29414429	31.25447614	40.56967693	50.54958788
2000723_2000962_Os01g0137300	21.65723438	26.22630125	21.80230503	21.24371722	36.36744991	26.31955885	20.89953054	32.85723212
20199585_20199912_Os01g0544700	110.2550114	98.19615121	90.96823824	129.035912	142.396494	139.0001702	135.2322564	121.3190109
2025102_2026177_Os01g0137700	79.7379993	123.2026245	72.17314769	140.0511728	280.6952472	152.1599496	176.4166254	214.8357485
20282452_20282603_Os01g0545900	3.937678978	4.879311861	8.26983984	11.01526078	9.219916879	10.69232078	7.99099697	10.10991758
20333757_20334594_Os01g0547000	141.7564432	149.4289258	148.1053135	150.2796293	146.4942349	131.5977943	134.0028723	134.798901
2033950_2034609_Os01g0137800	63.98728339	74.40950589	65.4069151	68.45197772	151.6164109	105.2782354	91.58911912	127.2164628
2034009_2034609_Os01g0137800	63.00286365	71.35993597	60.89609337	65.30476036	149.5675405	103.633263	86.05689045	126.3739697
2036799_2037241_Os01g0137875	107.3017521	111.6142588	107.5079179	99.13734705	102.4435209	108.5681803	95.27727157	111.2090933
2037622_2038001_Os01g0137875	164.3980973	178.0948829	181.1846729	180.9649986	178.7639439	186.7043706	174.5725492	191.2459408
20381726_20381906_Os01g0547500	6.890938211	8.538795757	9.021643462	7.868043416	11.7810049	8.224862142	6.761612821	4.212465656
20383336_20383636_Os01g0547500	31.50143182	27.44612922	33.07935936	36.19299972	25.09866262	30.43198992	42.41375315	35.38471151
20489204_20489833_Os01g0549200	211.6502451	215.2996359	240.577159	215.5843896	232.5467924	242.6334332	248.9502902	268.7553089
20527293_20528163_Os01g0549400	1132.082706	1164.325793	1232.95794	1140.866295	1148.391869	1103.776499	1146.400719	1119.673371
20535282_20535460_Os01g0549600	114.1926904	139.670302	109.7633288	111.7262165	138.8109708	117.6155286	137.0763326	129.7439422
20540846_20541366_Os01g0549700	122.0680483	184.1940228	112.0187397	188.0462377	139.3231884	114.3255838	183.1782382	124.6889834
205934_206202_Os01g0103900	125.0213075	153.6983236	145.098099	142.4115858	169.0318095	130.7753081	135.8469485	114.5790659
2061987_2062226_Os01g0138500	17.7195554	27.44612922	30.82394849	26.75134762	24.58644501	32.07696235	26.43175921	26.9597802
20783515_20784021_Os01g0552850	130.927826	155.5280656	166.1486004	128.2491077	127.5421835	157.0948669	178.8753937	160.0736949
20783781_20784018_Os01g0553200	90.56661649	98.19615121	102.9970962	79.46723851	85.54033993	97.05337327	106.3417289	95.20172383
20954109_20954499_Os01g0555800	111.2394311	118.9332266	136.0764555	117.2338469	72.73489982	75.6687317	62.08389954	90.14676504
21062785_21062965_Os01g0557200	40.36120952	35.37501099	28.56853763	25.96454327	34.31857949	25.49707264	22.74360676	24.43230081
21166690_21167414_Os01g0558900	1174.412755	1210.679256	1257.767459	1124.343404	1087.950192	1178.622745	1032.682685	1172.750439
21183569_21184010_Os01g0559200	148.6473814	170.7759151	172.914833	196.7010854	175.1784207	142.2901151	150.5995583	167.6561331
21186843_21187424_Os01g0559300	92.53545598	98.80606519	100.7416853	104.6449774	117.810049	106.1007216	140.7644851	123.0039972
21201034_21201154_Os01g0559500	72.84706109	86.60778554	104.5007034	101.4977601	66.58828857	50.17165906	53.47821049	59.81701232
21201263_21201532_Os01g0559525	238.2295782	245.185421	293.2034125	248.630172	183.88612	163.6747566	174.5725492	176.0810644
21202684_21203101_Os01g0559550	60.04960441	59.7715703	48.1154318	65.30476036	54.29506607	56.75154878	54.70759464	40.4396703
21242599_21242977_Os01g0559750	1163.584138	1037.463685	1054.028678	1107.033709	1049.533871	1013.303016	1043.747143	927.5849375
21534120_21534449_Os01g0564400	73.83148084	75.01941987	62.39970061	62.15754299	75.29598785	69.08884199	78.68058555	79.19435434
21631181_21631390_Os01g0565900	101.3952337	92.09701138	102.2452926	95.20332534	113.2000906	128.3078494	124.7824912	102.784162
21632401_21633086_Os01g0565900	516.8203659	502.5691217	509.7228556	536.600561	518.8764333	595.4800191	574.7370898	610.8075202
21689079_21689199_Os01g0566800	119.1147891	123.2026245	120.2885795	115.6602382	46.0995844	59.21900742	57.16636294	58.97451919
21716315_21716605_Os01g0567400	240.1984177	208.5905821	176.6738511	225.0260417	255.5965846	271.4204507	272.3085891	249.3779669
21922041_21922486_Os01g0571100	507.9605882	567.2200039	527.7661425	520.0776698	463.556932	406.3081898	472.6982054	486.9610299
21922192_21922491_Os01g0571133	589.6674269	621.5023483	581.1441997	579.8747998	530.1452205	454.0123902	513.2678823	529.9281796
21922550_21922789_Os01g0571133	283.5128864	257.3837007	289.4443944	295.8384325	294.0129049	264.0180747	227.4360676	260.3303776
21922903_21923827_Os01g0571100	346.5157501	300.0776795	318.012932	335.1786495	325.7703964	284.5802301	256.3265951	303.2975273
21922907_21923147_Os01g0571133	344.5469106	284.2199159	302.225056	319.4425627	301.696169	274.7103955	240.9592933	290.6601303
