	CK_Input_1	CK_Input_2	CK_Input_3	CK_Input_4	CK_m6A_1	CK_m6A_2	CK_m6A_3	CK_m6A_4	RSV_Input_1	RSV_Input_2	RSV_Input_3	RSV_Input_4	RSV_m6A_1	RSV_m6A_2	RSV_m6A_3	RSV_m6A_4
12122389_12123026_Os01g0319000	49.37418778	57.27276725	51.83307003	63.59180596	71.86264135	75.62933385	80.44298753	84.18806456	25.42429415	27.51117699	33.40718282	68.71950274	78.36929347	67.44386956	71.91897273	73.29690242
12214114_12214579_Os01g0320700	990.9284663	939.5461104	1051.470849	1010.131379	587.6985875	544.6531865	621.7415952	563.3519086	685.0434812	679.0916846	753.3319726	765.7316019	431.2872229	379.1661447	425.9816077	389.2318266
12332853_12333091_Os01g0323100	17.22355388	6.818186578	10.57817756	15.89795149	12.79745668	7.928881775	20.29869779	18.8833042	7.06230393	5.791826734	3.340718282	6.544714547	12.29322251	17.2722105	15.36730187	10.10991758
12344402_12344612_Os01g0323300	160.7531695	216.8183332	184.0602895	161.4253536	102.3796534	91.4870974	104.5007034	121.1678686	110.1719413	134.6599716	210.4652518	176.7072928	71.19824701	88.00602492	73.76304896	64.87197111
1236358_1236760_Os01g0121800	133.1954833	136.3637316	132.2272195	125.9606926	237.2451584	261.6530986	269.8975002	262.0058458	117.2342452	124.5242748	121.9362173	145.6198987	290.9395993	273.0654231	285.2171226	275.4952539
12403524_12404005_Os01g0324400	53.96713548	66.81822846	67.70033637	62.36888662	91.55103624	71.96984995	78.18757667	73.95960811	84.74764716	66.60600744	63.47364736	94.89836092	99.88243286	100.3433181	109.4151893	98.57169636
12584856_12585247_Os01g0327600	52.81889855	42.27275678	25.38762614	56.25428989	62.0184439	76.84916182	100.7416853	75.5332168	35.31151965	43.43870051	58.46256994	55.63007365	95.27247442	92.11845599	93.43319535	88.46177878
12616135_12616705_Os01g0327900	75.78363705	90.00006282	79.33633168	66.03764465	94.50429547	97.58623723	71.42134407	93.62971666	104.5220982	85.42944433	106.902985	78.53657456	81.9548167	70.73381442	79.29527763	66.55695737
12649416_12650012_Os01g0328500	231.9438589	229.091069	257.0497147	234.8005143	271.6998495	281.170346	280.4227509	328.0974105	241.5307944	272.2158565	213.8059701	240.5182596	262.2554134	278.8228266	307.9607294	273.8102677
12650572_12650721_Os01g0328600	130.8990095	137.7273689	129.0537662	138.189886	65.95612288	64.04096818	94.72725635	88.12208626	146.8959218	165.0670619	200.4430969	224.1564732	89.12586316	93.76342842	87.90096667	101.9416689
12653961_12654287_Os01g0328600	210.1273573	212.7274212	195.6962848	191.9983372	311.0766393	322.0345828	324.027361	333.6050409	211.8691179	192.5782389	217.1466883	251.97151	357.5278879	361.8939342	331.3190282	385.8618541
12729986_12730167_Os01g0329800	57.41184625	90.00006282	70.87378964	53.8084512	34.45469106	40.86423684	34.5829666	41.70063011	101.6971766	97.0130978	105.2326259	85.0812891	50.70954284	55.92906256	47.94598182	46.33712222
12730420_12730839_Os01g0329800	47.07771393	49.09094336	45.4861635	41.57925774	98.44197445	63.4310542	62.39970061	72.38599943	74.86042166	53.57439729	61.80328822	70.35568138	80.93038149	94.58591463	94.66257949	86.77679252
12809965_12810174_Os01g0331100	4.5929477	4.090911947	4.231271023	4.891677382	4.922098722	11.58836567	6.766232596	7.081239075	4.237382358	1.447956684	0	9.81707182	6.146611253	3.289944857	9.835073194	4.212465656
12915019_12915320_Os01g0332500	3.444710775	5.454549262	6.346906535	9.783354763	9.844197445	8.538795757	11.27705433	5.507630392	2.824921572	1.447956684	1.670359141	11.45325046	19.97648657	11.514807	11.67914942	10.95241071
12915363_12915930_Os01g0332800	404.1793976	390.0002722	380.8143921	365.6528843	362.266466	336.6725184	323.2755574	350.127932	364.4148828	351.8534741	345.7643422	297.7845119	324.2337436	327.3495132	319.0251867	346.2646769
12924254_12924940_Os01g0333001	3011.825454	2660.456403	2738.69017	3393.601184	4483.047516	3830.259811	3903.364404	4256.611488	2418.132866	2392.024441	2839.61054	2176.117587	3848.803079	3463.489448	3415.229167	3325.320389
13245729_13246058_Os01g0337500	5.741184625	17.7272851	21.15635512	9.783354763	22.64165412	25.00647329	19.54689417	18.09649986	29.66167651	37.64687377	30.06646454	39.26828728	70.68602941	84.71608006	79.29527763	73.29690242
13247311_13247895_Os01g0337600	576.4149364	515.4549053	551.1230508	536.8615926	357.3443672	322.6444968	318.7647357	343.046693	539.5600203	540.087843	684.8472479	638.1096683	302.7206042	310.899789	274.7673574	294.8725959
13259214_13262168_Os01g0337600	284.7627574	331.3638677	315.2296912	298.3923203	173.257875	139.670302	106.7561143	143.9851945	317.8036769	269.3199431	310.6868002	332.1442632	116.2733962	129.1303356	159.8199394	107.8391208
13267997_13268354_Os01g0337700	37.89181853	53.18185531	42.31271023	34.24174167	32.48585157	51.84268853	48.1154318	45.63465182	29.66167651	52.12644061	23.38502798	35.99593001	34.31857949	35.36690721	32.57867996	29.48725959
13294211_13294473_Os01g0338100	223.9062004	186.8183122	191.4650138	179.7691438	407.5497742	464.1445408	499.1976049	458.7069312	242.9432552	225.8812426	268.9278217	197.977615	404.1396899	439.2076384	425.3669157	477.6936054
13348116_13348414_Os01g0339600	2.29647385	1.363637316	3.173453267	3.668758036	7.875357956	8.538795757	9.773447084	7.081239075	5.649843144	4.343870051	5.011077423	3.272357273	6.658828857	9.047348356	7.376304896	13.4798901
13356913_13357633_Os01g0339950	755.5398967	760.9096221	792.3054991	805.9038486	1285.652186	1320.463772	1281.073372	1273.049425	930.811658	919.4524941	1236.065764	1150.233582	1606.314407	1685.274253	1611.107928	1753.228206
13531068_13531571_Os01g0342800	78.0801109	92.72733746	68.75815413	85.60435418	94.50429547	80.50864571	93.97545273	76.32002114	70.6230393	69.50192081	81.84759792	86.71746774	78.88151108	69.9113282	75.60712518	76.66687494
13643234_13643590_Os01g0346400	24.11297543	17.7272851	20.09853736	23.23546756	26.5793331	25.00647329	30.82394849	35.40619537	35.31151965	13.03161015	28.3961054	24.54267955	27.65975064	30.43198992	27.04645128	37.06969778
13778792_13779085_Os01g0346700	63.15303088	58.63640457	60.29561208	52.58553185	63.98728339	79.89873173	72.92495132	74.74641246	124.2965492	99.90901116	103.5622667	107.98779	86.05255754	97.87585949	127.2412595	104.4691483
13803166_13803376_Os01g0347100	125.1578248	137.7273689	127.9959485	156.5336762	80.72241905	68.92028004	72.17314769	92.05610797	122.8840884	114.388578	111.9140625	114.5325046	82.46703431	80.60364899	82.368738	90.14676504
13892506_13893184_Os01g0348600	652.1985734	660.0004607	678.0611815	710.5161397	1408.704654	1397.312934	1511.12528	1369.826359	853.1263148	858.6383133	800.1020286	787.0019242	1828.616848	1816.872047	1717.449657	1891.39708
13897676_13898120_Os01g0348700	1656.905883	1599.546571	1668.178601	1602.024342	1167.521817	1246.054267	1172.81365	1215.612708	1437.88508	1378.454763	1050.6559	1248.4043	913.2839886	1019.060419	952.7727157	963.8121422
14040717_14040808_Os01g0351100	20.66826465	15.00001047	16.92508409	12.22919345	38.39237004	25.61638727	39.09378833	40.12702142	7.06230393	7.239783418	13.36287313	13.08942909	37.39188512	45.23674178	28.27583543	45.49462909
14054441_14054909_Os01g0351200	22.9647385	19.09092242	27.50326165	23.23546756	70.8782216	77.4590758	84.95380927	56.6499126	32.48659808	30.40709035	20.04430969	13.08942909	59.92945971	48.52668664	49.79005805	62.34449171
1411585_1411915_Os01g0125700	94.15542785	85.90915088	99.43486904	86.82727352	84.66009803	73.18967792	60.89609337	72.38599943	77.68534323	94.11718443	98.55118933	116.1686832	80.93038149	87.1835387	80.52466178	78.35186121
1418512_1418662_Os01g0125850	128.6025356	83.18187625	104.7239578	96.61062829	51.18982671	62.82114021	66.91052234	55.07630392	120.0591668	95.56514111	113.5844216	124.3495764	74.78377024	68.26635578	57.78105502	72.45440929
141988_142259_Os01g0102500	74.63540013	99.54552403	120.5912242	103.9481444	56.11192544	71.35993597	62.39970061	66.87836904	134.1837747	98.46105448	125.2769356	142.3475414	67.61272378	78.13619035	62.69859161	50.54958788
1421722_1423293_Os01g0125900	93.00719093	76.36368967	89.91450924	102.725225	34.45469106	56.11208641	54.12986077	62.15754299	96.04733345	97.0130978	133.6287313	132.5304696	59.92945971	59.21900742	59.01043917	53.9195604
143863_144494_Os01g0102500	149.2708003	171.8183018	126.9381307	157.7565956	252.0114546	254.3341308	295.4588234	247.8433676	146.8959218	141.899755	120.2658582	160.3455064	250.9866262	230.29614	262.4735159	281.3927058
14392028_14392777_Os01g0356500	40.18829238	55.90912994	43.37052799	58.70012858	107.3017521	123.8125385	141.3390809	116.4470426	60.7358138	53.57439729	63.47364736	49.0853591	100.3946505	112.6806113	108.8004972	112.8940796
14453095_14453454_Os01g0357100	408.7723453	383.1820857	378.6987566	375.436239	395.7367373	419.6208201	384.1716507	369.7980406	302.2666082	308.4147736	268.9278217	333.7804419	333.4536605	338.041834	395.247004	342.8947044
1445329_1445599_Os01g0126200	40.18829238	45.00003141	33.85016819	53.8084512	39.37678978	46.35346268	50.37084266	37.7666084	48.02366673	53.57439729	61.80328822	49.0853591	46.611802	63.33143849	53.47821049	41.28216343
1446942_1447152_Os01g0126401	19.52002773	19.09092242	13.75163083	18.34379018	13.78187642	12.80819364	12.78066157	14.94928249	16.94952943	15.92752352	15.03323227	8.180893183	12.29322251	17.2722105	11.06445734	12.63739697
14480824_14481058_Os01g0357900	398.438213	396.8184588	451.6881817	439.028045	250.0426151	312.8858731	284.9335727	266.7266718	389.839177	373.5728244	292.3128497	238.8820809	211.033653	224.5387365	232.3536042	229.1581317
14576600_14576840_Os01g0359400	65.44950473	38.18184483	50.77525228	39.13341905	58.08076492	60.99139827	61.64789699	51.14228221	36.72398044	36.19891709	31.73682368	35.99593001	42.51406116	39.47933828	49.17536597	41.28216343
14608821_14609060_Os01g0360100	1.148236925	5.454549262	4.231271023	4.891677382	10.82861719	6.709053809	4.510821731	7.868043416	0	5.791826734	1.670359141	6.544714547	5.634393648	9.047348356	7.376304896	5.054958788
14612203_14612323_Os01g0360100	0	2.727274631	0	2.445838691	4.922098722	3.659483896	3.759018109	2.360413025	7.06230393	5.791826734	1.670359141	1.636178637	3.585523231	4.934917285	5.532228672	4.212465656
14679305_14679744_Os01g0360600	334.1369452	330.0002304	320.51878	320.4048685	316.9831577	348.2608841	348.8368805	295.8384325	278.2547749	254.8403763	203.7838152	274.878011	246.8888853	263.1955885	267.3910525	247.6929806
14705442_14705618_Os01g0361000	701.5727612	645.0004502	685.4659058	711.739059	372.1106634	376.3169273	331.5453972	328.8842148	532.4977163	558.9112799	576.2739037	657.7438119	250.4744085	296.9175233	301.8138086	249.3779669
14738102_14738430_Os01g0361500	214.720305	240.0001675	220.0260932	233.577595	156.5227394	137.8405601	130.8138302	120.3810643	228.8186473	270.7678998	335.7421874	355.0507641	124.9810955	144.7575737	149.9848662	130.5864353
14748105_14748525_Os01g0361800	24.11297543	19.09092242	10.57817756	19.56670953	29.53259233	47.57329065	45.86002093	33.83258669	14.12460786	15.92752352	23.38502798	16.36178637	30.22083866	28.7870175	31.34929581	42.96714969
14771130_14771426_Os01g0362533	13.7788431	15.00001047	15.86726634	11.00627411	16.73513566	25.61638727	30.82394849	29.11176064	24.01183336	14.47956684	20.04430969	6.544714547	20.48870418	28.7870175	19.67014639	16.84986263
14783422_14784280_Os01g0362800	26.40944928	36.81820752	32.79235043	28.12714494	51.18982671	48.18320463	54.88166439	43.27423879	39.54890201	43.43870051	35.07754196	37.63210864	57.36837169	68.26635578	53.47821049	50.54958788
14796877_14797054_Os01g0363300	153.863748	143.1819181	161.8461166	143.0815634	143.7252827	137.2306461	148.1053135	139.2643685	117.2342452	137.5558849	76.83652049	103.0792541	121.3955722	116.7930424	122.3237229	127.2164628
14800815_14803009_Os01g0363500	443.2194531	481.3639724	432.6474621	414.5696581	353.4066883	347.0410561	397.7041159	355.6355624	425.1506966	425.699265	309.0164411	374.6849078	336.0147485	308.4323303	292.5934275	340.367225
14802806_14803013_Os01g0363600	20.66826465	13.63637316	22.21417287	11.00627411	20.67281463	25.61638727	33.07935936	14.16247815	2.824921572	34.75096041	18.37395055	14.72560773	20.48870418	28.7870175	25.20237506	20.21983515
14809705_14809945_Os01g0363900	98.74837555	135.0000942	103.6661401	119.8460959	73.83148084	58.55174234	72.92495132	66.87836904	125.70901	127.4201882	198.7727378	184.8881859	69.6615942	74.84624549	90.97442705	64.02947798
14856285_14856731_Os01g0364400	21.81650158	31.36365826	31.73453267	20.78962887	46.26772799	54.28234446	36.83837747	40.12702142	25.42429415	18.82343689	15.03323227	26.17885819	43.02627877	44.41425557	53.47821049	45.49462909
14856457_14856726_Os01g0364412	14.92708003	25.909109	27.50326165	17.12087084	21.65723438	23.78664532	22.55410865	20.45691288	18.36199022	26.0632203	20.04430969	29.45121546	21.51313938	27.14204507	24.58768299	25.27479394
14856998_14857385_Os01g0364400	17.22355388	15.00001047	17.98290185	19.56670953	23.62607387	18.90733346	18.79509055	16.52289117	8.474764716	7.239783418	20.04430969	32.72357273	14.85431053	10.69232078	18.44076224	12.63739697
14898737_14898978_Os01g0364800	101.0448494	84.54551356	112.1286821	107.6169024	136.8343445	129.9116783	155.6233497	128.2491077	62.14827459	86.87740101	106.902985	101.4430755	135.7376652	137.3551978	148.14079	117.1065452
14902435_14902641_Os01g0364900	2.29647385	4.090911947	4.231271023	6.114596727	5.906518467	10.36853771	10.52525071	7.081239075	4.237382358	2.895913367	0	3.272357273	10.75656969	7.402375928	10.44976527	8.424931313
14958804_14959343_Os01g0366100	21.81650158	42.27275678	39.13925696	26.9042256	70.8782216	65.87071013	69.91773683	72.38599943	36.72398044	30.40709035	55.12185166	19.63414364	84.00368712	75.6687317	83.59812215	72.45440929
14967559_14968217_Os01g0366300	49.37418778	49.09094336	40.19707472	50.13969316	71.86264135	78.06898978	61.64789699	78.68043416	76.27288245	62.26213739	48.44041509	39.26828728	88.10142796	86.36105249	84.8275063	97.72920323
14967588_14968247_Os01g0366300	47.07771393	45.00003141	35.9658037	50.13969316	68.90938211	75.01941987	59.39248612	78.68043416	70.6230393	59.36622403	46.77005595	39.26828728	87.07699275	85.53856627	83.59812215	97.72920323
15067107_15067522_Os01g0367700	595.9349641	640.9095383	574.3950414	591.8929632	1094.674756	1210.679256	1219.425475	1131.424643	492.9488143	470.5859222	434.2933767	466.3109114	873.8432331	898.9774321	1000.104005	973.0795666
1521331_1521601_Os01g0127700	94.15542785	106.3637106	93.08796251	91.71895091	116.1615298	121.3728826	123.295794	118.8074556	199.1569708	237.4648961	195.4320195	184.8881859	283.2563352	276.355368	252.0237506	283.0776921
15328896_15329074_Os01g0372100	2.29647385	0	2.115635512	0	1.968839489	3.659483896	6.014428975	8.654847758	5.649843144	0	0	6.544714547	11.2687873	0.822486214	6.761612821	1.684986263
15360532_15360682_Os01g0372700	165.3461172	192.2728615	174.5399297	160.2024342	105.3329127	100.6358071	95.47905997	110.1526078	165.257912	169.410932	275.6092583	199.6137937	89.12586316	100.3433181	97.12134779	78.35186121
15447_15685_Os01g0100400	83.82129553	65.45459115	65.58470086	57.47720923	55.12750569	67.70045208	56.38527164	51.92908655	70.6230393	73.84579086	75.16616135	70.35568138	51.22176044	60.86397985	59.62513124	73.29690242
15465595_15465895_Os01g0375000	315.7651544	402.2730081	333.2125931	314.2902718	220.5100228	216.5194638	193.9653344	227.3864547	295.2043043	330.1341238	365.8086519	353.4145855	160.3241102	189.9943155	180.1047779	155.0187362
15492052_15493392_Os01g0375200	156.1602218	162.2728405	192.5228316	178.5462244	229.3698005	260.4332706	242.8325698	220.3052157	148.3083825	182.4425421	150.3323227	137.4390055	251.4988438	245.1008918	261.8588238	234.2130905
15644973_15645271_Os01g0377700	230.7956219	227.7274317	255.9918969	261.7047399	137.8187642	150.0388397	140.5872773	148.7060206	309.3289121	335.9259506	439.3044541	409.0446592	208.9847826	212.2014433	208.3806133	199.6708721
15645687_15646044_Os01g0377700	297.3933636	332.727505	273.9747988	314.2902718	177.195554	188.4634206	189.4545127	169.9497378	370.0647259	350.4055174	410.9083487	525.2133424	196.1793425	265.6630472	236.6564487	220.7332004
1605220_1605729_Os01g0128800	435.1817946	366.8184379	404.0863827	426.7988515	820.0216472	813.0153389	896.9017208	816.7029066	634.1948929	653.0284643	648.0993468	659.3799906	1375.304268	1264.983797	1194.961393	1304.179367
16086728_16086938_Os01g0384300	12.63060618	23.18183436	21.15635512	24.45838691	13.78187642	15.85776355	13.53246519	11.01526078	35.31151965	17.3754802	23.38502798	17.997965	16.39096334	17.2722105	14.13791772	15.16487636
16130514_16130777_Os01g0384800	254.9085974	238.6365302	302.5358782	266.5964173	141.7564432	129.9116783	162.3895823	153.4268466	447.7500692	474.9297922	638.0771919	600.4775596	225.3757459	274.7103955	284.6024306	204.7258309
16385639_16385905_Os01g0388500	268.6874405	275.4547377	300.4202426	266.5964173	158.4915789	138.4504741	125.5512048	129.8227164	268.3675494	237.4648961	297.3239271	299.4206905	116.2733962	106.9232078	100.1948082	132.2714216
16696881_16697122_Os01g0392600	12.63060618	15.00001047	5.289088779	17.12087084	23.62607387	15.85776355	18.04328692	18.8833042	45.19874515	53.57439729	11.69251399	55.63007365	25.61088022	18.09469671	24.58768299	46.33712222
16697510_16698350_Os01g0392600	42.48476623	30.00002094	42.31271023	33.01882233	40.36120952	39.64440887	45.86002093	54.28949957	101.6971766	99.90901116	93.5401119	93.26218229	66.07607097	63.33143849	73.76304896	64.02947798
16699008_16699608_Os01g0392600	9.1858954	17.7272851	9.520359802	15.89795149	17.7195554	18.90733346	28.56853763	13.37567381	49.43612751	60.81418071	48.44041509	26.17885819	34.31857949	27.96453128	31.96398788	42.12465656
16980462_16981346_Os01g0495701	282.4662836	302.727484	297.2467894	275.1568527	215.587924	243.3556791	214.2640322	235.2544982	305.0915298	283.79951	265.5871034	240.5182596	250.9866262	251.6807815	206.5365371	244.3230081
17015729_17016236_Os01g0495900	715.3516043	707.7277668	694.9862656	688.5035915	1273.839149	1252.76332	1341.217661	1244.724468	526.8478732	551.6714964	636.4068328	665.9247051	1071.047011	989.4509156	1026.535765	1045.533976
17070575_17070724_Os01g0496900	52.81889855	42.27275678	80.39414944	57.47720923	20.67281463	37.81466693	32.32755574	36.97980406	79.09780402	78.18966091	168.7062733	91.62600365	46.611802	47.70420042	52.24882634	48.02210848
17157095_17157677_Os01g0498200	428.292373	435.0003037	461.2085415	437.8051257	877.1179923	1045.392566	1089.363448	960.6881011	826.2895598	834.0230497	927.0493233	914.6238579	1763.052994	1684.451767	1730.972882	1940.261681
